Date : 2026-05-29 16:04:32
Directory : d:\github\openakita_jyhk
Total : 70 files,  5553 codes, 30 comments, 779 blanks, all 6362 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| Python         |         46 |      2,589 |         28 |        403 |      3,020 |
| TypeScript JSX |         13 |      1,734 |         -6 |         96 |      1,824 |
| Markdown       |          7 |      1,104 |          0 |        267 |      1,371 |
| TypeScript     |          4 |        126 |          8 |         13 |        147 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                               |         70 |      5,553 |         30 |        779 |      6,362 |
| apps                                                                                                            |         17 |      1,860 |          2 |        109 |      1,971 |
| apps\setup-center                                                                                               |         17 |      1,860 |          2 |        109 |      1,971 |
| apps\setup-center\src                                                                                           |         17 |      1,860 |          2 |        109 |      1,971 |
| apps\setup-center\src\api                                                                                       |          2 |         67 |          2 |          5 |         74 |
| apps\setup-center\src\components                                                                                |         15 |      1,793 |          0 |        104 |      1,897 |
| apps\setup-center\src\components\product                                                                        |          4 |        186 |          5 |          9 |        200 |
| apps\setup-center\src\components\rd-manage                                                                      |         11 |      1,607 |         -5 |         95 |      1,697 |
| apps\setup-center\src\components\rd-manage (Files)                                                              |          1 |         92 |          1 |          3 |         96 |
| apps\setup-center\src\components\rd-manage\meeting                                                              |         10 |      1,515 |         -6 |         92 |      1,601 |
| apps\setup-center\src\components\rd-manage\meeting (Files)                                                      |          7 |        724 |         11 |         56 |        791 |
| apps\setup-center\src\components\rd-manage\meeting\panels                                                       |          3 |        791 |        -17 |         36 |        810 |
| docs                                                                                                            |          1 |        680 |          0 |        156 |        836 |
| docs\synapse                                                                                                    |          1 |        680 |          0 |        156 |        836 |
| skills                                                                                                          |          6 |        505 |          9 |        117 |        631 |
| skills\whalecloud-dev-tool-ask-user                                                                             |          1 |          8 |          0 |          3 |         11 |
| skills\whalecloud-dev-tool-doc-generate                                                                         |          3 |        114 |          9 |         20 |        143 |
| skills\whalecloud-dev-tool-doc-generate (Files)                                                                 |          2 |        106 |          9 |         16 |        131 |
| skills\whalecloud-dev-tool-doc-generate\templates                                                               |          1 |          8 |          0 |          4 |         12 |
| skills\whalecloud-dev-tool-function-solution                                                                    |          1 |        412 |          0 |        109 |        521 |
| skills\whalecloud-dev-tool-module-function                                                                      |          1 |        -29 |          0 |        -15 |        -44 |
| skills\whalecloud-dev-tool-module-function\templates                                                            |          1 |        -29 |          0 |        -15 |        -44 |
| src                                                                                                             |         29 |      1,610 |         18 |        212 |      1,840 |
| src\synapse                                                                                                     |         29 |      1,610 |         18 |        212 |      1,840 |
| src\synapse\api                                                                                                 |          2 |        183 |          8 |         24 |        215 |
| src\synapse\api\routes                                                                                          |          2 |        183 |          8 |         24 |        215 |
| src\synapse\rd_meeting                                                                                          |         25 |      1,326 |          8 |        183 |      1,517 |
| src\synapse\rd_meeting (Files)                                                                                  |         24 |      1,313 |          8 |        176 |      1,497 |
| src\synapse\rd_meeting\prompts                                                                                  |          1 |         13 |          0 |          7 |         20 |
| src\synapse\rd_sop                                                                                              |          1 |         91 |          2 |          5 |         98 |
| src\synapse\tools                                                                                               |          1 |         10 |          0 |          0 |         10 |
| src\synapse\tools\definitions                                                                                   |          1 |         10 |          0 |          0 |         10 |
| tests                                                                                                           |         17 |        898 |          1 |        185 |      1,084 |
| tests\integration                                                                                               |          1 |          2 |          0 |          0 |          2 |
| tests\unit                                                                                                      |         16 |        896 |          1 |        185 |      1,082 |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                        | language       | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| d:\github\openakita_jyhk\apps\setup-center\src\api\meetingRoomService.ts                                        | TypeScript     |         51 |          1 |          4 |         56 |
| d:\github\openakita_jyhk\apps\setup-center\src\api\rdUnifiedService.ts                                          | TypeScript     |         16 |          1 |          1 |         18 |
| d:\github\openakita_jyhk\apps\setup-center\src\components\product\ProductModal.tsx                              | TypeScript JSX |         58 |          0 |          2 |         60 |
| d:\github\openakita_jyhk\apps\setup-center\src\components\product\RepoBranchDerivedDisplay.tsx                  | TypeScript JSX |         32 |          1 |          1 |         34 |
| d:\github\openakita_jyhk\apps\setup-center\src\components\product\RepoUpdateDialog.tsx                          | TypeScript JSX |         58 |          0 |          2 |         60 |
| d:\github\openakita_jyhk\apps\setup-center\src\components\product\types.ts                                      | TypeScript     |         38 |          4 |          4 |         46 |
| d:\github\openakita_jyhk\apps\setup-center\src\components\rd-manage\OrderManagement.tsx                         | TypeScript JSX |         92 |          1 |          3 |         96 |
| d:\github\openakita_jyhk\apps\setup-center\src\components\rd-manage\meeting\MeetingAgentContextDrawer.tsx       | TypeScript JSX |         20 |          1 |          2 |         23 |
| d:\github\openakita_jyhk\apps\setup-center\src\components\rd-manage\meeting\MeetingChatStructuredCards.tsx      | TypeScript JSX |         -1 |          0 |          0 |         -1 |
| d:\github\openakita_jyhk\apps\setup-center\src\components\rd-manage\meeting\MeetingHitlForm.tsx                 | TypeScript JSX |         66 |          0 |          4 |         70 |
| d:\github\openakita_jyhk\apps\setup-center\src\components\rd-manage\meeting\MeetingRoomBoard.tsx                | TypeScript JSX |        499 |          3 |         35 |        537 |
| d:\github\openakita_jyhk\apps\setup-center\src\components\rd-manage\meeting\NodeReviewPanel.tsx                 | TypeScript JSX |         34 |          3 |          1 |         38 |
| d:\github\openakita_jyhk\apps\setup-center\src\components\rd-manage\meeting\meetingChatUtils.ts                 | TypeScript     |         21 |          2 |          4 |         27 |
| d:\github\openakita_jyhk\apps\setup-center\src\components\rd-manage\meeting\meetingRoomRoster.tsx               | TypeScript JSX |         85 |          2 |         10 |         97 |
| d:\github\openakita_jyhk\apps\setup-center\src\components\rd-manage\meeting\panels\MeetingNodeDetailPanel.tsx   | TypeScript JSX |        610 |          5 |         34 |        649 |
| d:\github\openakita_jyhk\apps\setup-center\src\components\rd-manage\meeting\panels\MeetingNodeReferenceTabs.tsx | TypeScript JSX |        623 |          3 |         23 |        649 |
| d:\github\openakita_jyhk\apps\setup-center\src\components\rd-manage\meeting\panels\RequirementAnalysisPanel.tsx | TypeScript JSX |       -442 |        -25 |        -21 |       -488 |
| d:\github\openakita_jyhk\docs\synapse\subprocess-multi-agent-development-scheme.md                              | Markdown       |        680 |          0 |        156 |        836 |
| d:\github\openakita_jyhk\skills\whalecloud-dev-tool-ask-user\SKILL.md                                           | Markdown       |          8 |          0 |          3 |         11 |
| d:\github\openakita_jyhk\skills\whalecloud-dev-tool-doc-generate\SKILL.md                                       | Markdown       |         12 |          0 |          3 |         15 |
| d:\github\openakita_jyhk\skills\whalecloud-dev-tool-doc-generate\fill_clarify.py                                | Python         |         94 |          9 |         13 |        116 |
| d:\github\openakita_jyhk\skills\whalecloud-dev-tool-doc-generate\templates\函数级方案.md                             | Markdown       |          8 |          0 |          4 |         12 |
| d:\github\openakita_jyhk\skills\whalecloud-dev-tool-function-solution\SKILL.md                                  | Markdown       |        412 |          0 |        109 |        521 |
| d:\github\openakita_jyhk\skills\whalecloud-dev-tool-module-function\templates\03-模块功能.md                        | Markdown       |        -29 |          0 |        -15 |        -44 |
| d:\github\openakita_jyhk\src\synapse\api\routes\dev_iwhalecloud.py                                              | Python         |         81 |          7 |          9 |         97 |
| d:\github\openakita_jyhk\src\synapse\api\routes\meeting_rooms.py                                                | Python         |        102 |          1 |         15 |        118 |
| d:\github\openakita_jyhk\src\synapse\rd_meeting\agent_context_probe.py                                          | Python         |         34 |          0 |        -31 |          3 |
| d:\github\openakita_jyhk\src\synapse\rd_meeting\agent_prompt.py                                                 | Python         |         32 |          0 |          7 |         39 |
